vote_id,assembly_no,topic_no,title,date,result
67198,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:52,Zamítnuto
67199,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:53,Zamítnuto
67200,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:54,Zamítnuto
67201,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:54,Zamítnuto
67202,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:55,Zamítnuto
67203,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:56,Zamítnuto
67204,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:57,Zamítnuto
67205,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:57,Zamítnuto
67206,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:58,Zamítnuto
67207,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 18:59,Zamítnuto
67208,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:00,Zamítnuto
67209,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:00,Zamítnuto
67210,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:02,Zamítnuto
67211,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:02,Zamítnuto
67212,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:03,Zamítnuto
67213,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:04,Zamítnuto
67214,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:05,Zamítnuto
67215,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:06,Zamítnuto
67216,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:06,Zamítnuto
67217,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:07,Zamítnuto
67218,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:08,Přijato
67219,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:14,Zamítnuto
67220,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:15,Zamítnuto
67221,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:16,Zamítnuto
67222,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:17,Zamítnuto
67223,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:18,Zamítnuto
67224,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:19,Zamítnuto
67225,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:20,Zamítnuto
67226,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:21,Zamítnuto
67227,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:22,Zamítnuto
67228,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:23,Zamítnuto
67229,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:24,Zamítnuto
67230,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:25,Zamítnuto
67231,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:26,Zamítnuto
67232,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:27,Zamítnuto
67233,4,4,Vl.n.z. o státním rozpočtu ČR na rok 2018 (sněmovní tisk 2),19. 12. 2017 19:27,Zamítnuto
