vote_id,party,total,yes,no,not_in,refrained,excused
67041,ODS,25,24,0,0,1,0

67041,Piráti,22,22,0,0,0,0

67041,SPD,22,21,0,0,0,1

67041,ČSSD,15,12,0,1,0,2

67041,KSČM,15,14,0,0,0,1

67041,KDU-ČSL,10,7,0,0,2,1

67041,TOP09,7,4,0,0,1,2

67041,STAN,6,6,0,0,0,0

67042,ANO,78,74,0,1,2,1

67042,ODS,25,24,0,0,1,0

67042,Piráti,22,22,0,0,0,0

67042,SPD,22,21,0,0,0,1

67042,ČSSD,15,12,0,1,0,2

67042,KSČM,15,14,0,0,0,1

67042,KDU-ČSL,10,7,0,0,2,1

67042,TOP09,7,4,0,0,1,2

67042,STAN,6,6,0,0,0,0

67043,ANO,78,74,0,1,2,1

67043,ODS,25,24,0,0,1,0

67043,Piráti,22,22,0,0,0,0

67043,SPD,22,21,0,0,0,1

67043,ČSSD,15,12,0,1,0,2

67043,KSČM,15,14,0,0,0,1

67043,KDU-ČSL,10,8,0,0,1,1

67043,TOP09,7,4,0,0,1,2

67043,STAN,6,6,0,0,0,0

67044,ANO,78,73,0,1,3,1

67044,ODS,25,24,0,0,1,0

67044,Piráti,22,22,0,0,0,0

67044,SPD,22,21,0,0,0,1

67044,ČSSD,15,12,0,1,0,2

67044,KSČM,15,14,0,0,0,1

67044,KDU-ČSL,10,8,0,0,1,1

67044,TOP09,7,4,0,0,1,2

67044,STAN,6,6,0,0,0,0

67045,ANO,78,74,0,1,2,1

67045,ODS,25,24,0,0,1,0

67045,Piráti,22,22,0,0,0,0

67045,SPD,22,21,0,0,0,1

67045,ČSSD,15,12,0,1,0,2

67045,KSČM,15,14,0,0,0,1

67045,KDU-ČSL,10,9,0,0,0,1

67045,TOP09,7,4,0,0,1,2

67045,STAN,6,6,0,0,0,0

67046,ANO,78,74,0,1,2,1

67046,ODS,25,22,1,0,2,0

67046,Piráti,22,20,0,0,2,0

67046,SPD,22,21,0,0,0,1

67046,ČSSD,15,12,0,1,0,2

67046,KSČM,15,14,0,0,0,1

67046,KDU-ČSL,10,9,0,0,0,1

67046,TOP09,7,3,0,0,2,2

67046,STAN,6,6,0,0,0,0

67047,ANO,78,74,0,1,2,1

67047,ODS,25,24,0,0,1,0

67047,Piráti,22,22,0,0,0,0

67047,SPD,22,21,0,0,0,1

67047,ČSSD,15,12,0,1,0,2

67047,KSČM,15,14,0,0,0,1

67047,KDU-ČSL,10,9,0,0,0,1

67047,TOP09,7,4,0,0,1,2

67047,STAN,6,6,0,0,0,0

67048,ANO,78,73,0,1,3,1

67048,ODS,25,24,0,0,1,0

67048,Piráti,22,22,0,0,0,0

67048,SPD,22,21,0,0,0,1

67048,ČSSD,15,12,0,1,0,2

67048,KSČM,15,14,0,0,0,1

67048,KDU-ČSL,10,9,0,0,0,1

67048,TOP09,7,4,0,0,1,2

67048,STAN,6,6,0,0,0,0

67049,ANO,78,73,0,1,3,1

67049,ODS,25,25,0,0,0,0

67049,Piráti,22,22,0,0,0,0

67049,SPD,22,21,0,0,0,1

67049,ČSSD,15,12,0,1,0,2

67049,KSČM,15,14,0,0,0,1

67049,KDU-ČSL,10,9,0,0,0,1

67049,TOP09,7,4,0,0,1,2

67049,STAN,6,6,0,0,0,0

67050,ANO,78,74,0,1,2,1

67050,ODS,25,25,0,0,0,0

67050,Piráti,22,22,0,0,0,0

67050,SPD,22,21,0,0,0,1

67050,ČSSD,15,12,0,1,0,2

67050,KSČM,15,14,0,0,0,1

67050,KDU-ČSL,10,9,0,0,0,1

67050,TOP09,7,4,0,0,1,2

67050,STAN,6,6,0,0,0,0

67051,ANO,78,73,0,1,3,1

67051,ODS,25,24,0,0,1,0

67051,Piráti,22,22,0,0,0,0

67051,SPD,22,21,0,0,0,1

67051,ČSSD,15,12,0,1,0,2

67051,KSČM,15,14,0,0,0,1

67051,KDU-ČSL,10,9,0,0,0,1

67051,TOP09,7,4,0,0,1,2

67051,STAN,6,6,0,0,0,0

67052,ANO,78,74,0,1,2,1

67052,ODS,25,25,0,0,0,0

67052,Piráti,22,22,0,0,0,0

67052,SPD,22,21,0,0,0,1

67052,ČSSD,15,12,0,1,0,2

67052,KSČM,15,12,0,0,2,1

67052,KDU-ČSL,10,9,0,0,0,1

67052,TOP09,7,4,0,0,1,2

67052,STAN,6,6,0,0,0,0

67053,ANO,78,74,0,1,2,1

67053,ODS,25,25,0,0,0,0

